entry_time,exit_time,entry_price,exit_price,direction,contracts,pnl,costs,exit_reason
1770293400,1770342600,4841.3001953125,4792.20009765625,Short,1,487.7609765625,3.24,opposite_signal
1770342600,1770601200,4792.20009765625,5016.6998046875,Long,1,2241.757070312493,3.24,opposite_signal
1770601200,1770648000,5016.8998046875,5055.49990234375,Short,1,-389.2409765625,3.24,opposite_signal
1770648000,1770678000,5055.49990234375,5047.79990234375,Long,1,-80.24000000000727,3.24,opposite_signal
1770678000,1770720000,5047.99990234375,5077.70009765625,Short,1,-300.241953125,3.24,opposite_signal
1770720000,1770727800,5077.70009765625,5054.79990234375,Long,1,-232.24195312500729,3.24,opposite_signal
1770727800,1770732600,5054.99990234375,5095.3998046875,Short,1,-407.2390234375,3.24,opposite_signal
1770732600,1770737400,5095.3998046875,5030.6998046875,Long,1,-650.2400000000073,3.24,opposite_signal
1770737400,1770765600,5030.8998046875,5070.20009765625,Short,1,-396.2429296875,3.24,opposite_signal
1770765600,1770813600,5070.20009765625,5094.4,Long,1,238.75902343749271,3.24,opposite_signal
1770813600,1770903600,5094.6,5100.6,Short,1,-63.24,3.24,opposite_signal
1770903600,1770907800,5100.6,5066.9,Long,1,-340.2400000000073,3.24,opposite_signal
1770907800,1770945000,5067.1,4989.8001953125,Short,1,769.758046875,3.24,opposite_signal
1770945000,1770961800,4989.8001953125,4965.29990234375,Long,1,-248.24292968750729,3.24,opposite_signal
1770961800,1770989400,4965.49990234375,5013.8998046875,Short,1,-487.2390234375,3.24,opposite_signal
1770989400,1771200000,5013.8998046875,5033.9,Long,1,196.76195312499271,3.24,opposite_signal
1771200000,1771330800,5034.1,4962.3001953125,Short,1,714.758046875,3.24,opposite_signal
1771330800,1771336200,4962.3001953125,4889.29990234375,Long,1,-733.2429296875073,3.24,opposite_signal
1771336200,1771380600,4889.49990234375,4914.3998046875,Short,1,-252.2390234375,3.24,opposite_signal
1771380600,1771411200,4914.3998046875,4932.6998046875,Long,1,179.75999999999271,3.24,opposite_signal
1771411200,1771419000,4932.8998046875,4963.6,Short,1,-310.241953125,3.24,opposite_signal
1771419000,1771445400,4963.6,4999.6001953125,Long,1,356.7619531249927,3.24,opposite_signal
1771445400,1771477800,4999.8001953125,5007.1,Short,1,-76.238046875,3.24,opposite_signal
1771477800,1771493400,5007.1,5018.4,Long,1,109.75999999999273,3.24,opposite_signal
1771493400,1771514400,5018.6,5035.8001953125,Short,1,-175.241953125,3.24,opposite_signal
1771514400,1771525200,5035.8001953125,4996.9,Long,1,-392.2419531250073,3.24,opposite_signal
1771525200,1771549200,4997.1,5028.8001953125,Short,1,-320.241953125,3.24,opposite_signal
1771549200,1771831200,5028.8001953125,5157.9,Long,1,1287.7580468749927,3.24,opposite_signal
1771831200,1771843800,5158.1,5184.1,Short,1,-263.24,3.24,opposite_signal
1771843800,1771894800,5184.1,5225.9,Long,1,414.7599999999927,3.24,opposite_signal
1771894800,1771953000,5226.1,5178.70009765625,Short,1,470.7590234375,3.24,opposite_signal
1771953000,1771969800,5178.70009765625,5160.4,Long,1,-186.24097656250729,3.24,opposite_signal
1771969800,1771981200,5160.6,5186.70009765625,Short,1,-264.2409765625,3.24,opposite_signal
1771981200,1772014800,5186.70009765625,5193.9,Long,1,68.75902343749273,3.24,opposite_signal
1772014800,1772025600,5194.1,5206.3998046875,Short,1,-126.238046875,3.24,opposite_signal
1772025600,1772050800,5206.3998046875,5205.00009765625,Long,1,-17.237070312507278,3.24,opposite_signal
1772050800,1772082600,5205.20009765625,5215.99990234375,Short,1,-111.238046875,3.24,opposite_signal
1772082600,1772094600,5215.99990234375,5190.6998046875,Long,1,-256.2409765625073,3.24,opposite_signal
1772094600,1772134800,5190.8998046875,5211.20009765625,Short,1,-206.2429296875,3.24,opposite_signal
1772134800,1772152800,5211.20009765625,5190.00009765625,Long,1,-215.24000000000729,3.24,opposite_signal
1772152800,1772197200,5190.20009765625,5229.3001953125,Short,1,-394.2409765625,3.24,opposite_signal
1772197200,1772414400,5229.3001953125,5320.4,Long,1,907.7580468749927,3.24,opposite_signal
1772414400,1772434200,5320.6,5401.6,Short,1,-813.24,3.24,opposite_signal
1772434200,1772460600,5401.6,5378.6998046875,Long,1,-232.24195312500729,3.24,opposite_signal
1772460600,1772496600,5378.8998046875,5370.6,Short,1,79.758046875,3.24,opposite_signal
1772496600,1772516400,5370.6,5340.29990234375,Long,1,-306.2409765625073,3.24,opposite_signal
1772516400,1772586000,5340.49990234375,5161.3001953125,Short,1,1788.7570703125,3.24,opposite_signal
1772586000,1772605200,5161.3001953125,5143.4,Long,1,-182.24195312500729,3.24,opposite_signal
1772605200,1772617200,5143.6,5193.8998046875,Short,1,-506.238046875,3.24,opposite_signal
1772617200,1772628000,5193.8998046875,5183.50009765625,Long,1,-107.23707031250727,3.24,opposite_signal
1772628000,1772668200,5183.70009765625,5176.3001953125,Short,1,70.7590234375,3.24,opposite_signal
1772668200,1772686200,5176.3001953125,5179.6001953125,Long,1,29.759999999992722,3.24,end_of_data
